model_alias,protocol,source_dataset,target_dataset,method,tier,training_budget,calibration_scope,diagnostic_only,selected_parameter,metric_status,failure_reason,negative_budget_ratio,negative_budget_seed,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_encoder_train_correct,num_encoder_train_hard_hallucination,num_encoder_train_hard_hallucination_available,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,MIND-param,tierA,50pct_hard_negatives,oracle_target_calibration,True,single_vmf,passed,,0.5,20260506,0.21677394607801226,0.1411248626911575,0.3154270285422499,0.8972681666336877,0.8529136390242699,0.9350249228009723,0.22479772900673772,0.11320754716981132,0.6835286859962986,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,logistic(z),tierA,50pct_hard_negatives,oracle_target_calibration,True,C=1.0,passed,,0.5,20260506,0.26404555951956077,0.16428565015089652,0.3574753990803249,0.6333092779905253,0.5719166886701568,0.6989437205834481,0.08990469268034933,0.0,1.0,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,final-hidden linear probe,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=10.0,passed,,0.5,20260506,0.4087740729098003,0.31684491552038596,0.4954643870330004,0.7584474992143215,0.6904214115878513,0.8231659745293611,0.14265699923034067,0.0,1.0,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,output-confidence,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,negative_top2_margin,passed,,0.5,20260506,0.14398629265737156,0.07678828007691003,0.2263319293731625,0.8349376695028692,0.8023669591185497,0.8662496812000728,0.14741941717302937,0.07547169811320754,0.3849475632325725,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,HALP-lite,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=1.0,passed,,0.5,20260506,0.41554577537441423,0.32913423701358163,0.48968378471491425,0.7723918382549787,0.7064589267479763,0.8339761922912554,0.12675387325417758,0.0,1.0,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_dashb,repope,dash-b,MIND-main,tierA,50pct_hard_negatives,source_calibration,False,rho=0.009274823873345717,passed,,0.5,20260506,0.7308046527390254,0.6969128403011733,0.7647129418447273,0.632998210786402,0.5936643388058065,0.6702048229368107,0.5250375507951116,0.0,0.7851239669421488,436,242,194,3833,69,138,7,0
llava-onevision-qwen2-7b-ov-hf,repope_to_dashb,repope,dash-b,MIND-param,tierA,50pct_hard_negatives,source_calibration,False,single_vmf,passed,,0.5,20260506,0.7418126858077692,0.6779711415720563,0.7984099514263272,0.798372667632274,0.7590459181893607,0.8368874743410001,0.7430035916937117,0.08247422680412371,0.6570247933884298,436,242,194,3833,69,138,7,0
llava-onevision-qwen2-7b-ov-hf,repope_to_dashb,repope,dash-b,logistic(z),tierA,50pct_hard_negatives,source_calibration,False,C=0.1,passed,,0.5,20260506,0.7410344961241428,0.6799762065908357,0.7961400541414959,0.7933671295901848,0.7513293431959968,0.8327222440785108,0.7269306736984162,0.0,0.6611570247933884,436,242,194,3833,69,138,7,0
llava-onevision-qwen2-7b-ov-hf,repope_to_dashb,repope,dash-b,final-hidden linear probe,tierA,same_constraint_linear_or_cached,source_calibration,False,C=0.1,passed,,0.5,20260506,0.7997510786514195,0.7474933293087633,0.8450231252395758,0.8136661838629974,0.7743011291684255,0.8510673809376356,0.7816130046870948,0.30927835051546393,1.0,436,242,194,3833,69,138,7,0
llava-onevision-qwen2-7b-ov-hf,repope_to_dashb,repope,dash-b,output-confidence,tierA,same_constraint_linear_or_cached,source_calibration,False,negative_top2_margin,passed,,0.5,20260506,0.49305225068195896,0.4337445796009439,0.5553701020344741,0.6163840845190424,0.5633034475293839,0.6674216078356916,0.49683825912720025,0.0,0.7479338842975206,436,242,194,3833,69,138,7,0
