epoch,loss,model_alias,objective
2.0,5.515095253300861,qwen3.5-4b,supcon
3.0,5.512553470890697,qwen3.5-4b,supcon
4.0,5.511110929938836,qwen3.5-4b,supcon
5.0,5.507656047014686,qwen3.5-4b,supcon
6.0,5.516915623734637,qwen3.5-4b,supcon
7.0,5.516945152747922,qwen3.5-4b,supcon
8.0,5.514446568682911,qwen3.5-4b,supcon
9.0,5.519485783770802,qwen3.5-4b,supcon
10.0,5.5172423347225035,qwen3.5-4b,supcon
1.0,12.048058928512946,qwen3.5-4b,proxy_anchor
2.0,11.133934509463426,qwen3.5-4b,proxy_anchor
3.0,11.281622801369767,qwen3.5-4b,proxy_anchor
4.0,10.401399984592345,qwen3.5-4b,proxy_anchor
5.0,9.861397502868156,qwen3.5-4b,proxy_anchor
6.0,9.509488338377418,qwen3.5-4b,proxy_anchor
7.0,11.597956168942336,qwen3.5-4b,proxy_anchor
8.0,10.45868009086547,qwen3.5-4b,proxy_anchor
9.0,8.609865514243522,qwen3.5-4b,proxy_anchor
10.0,9.429057900498552,qwen3.5-4b,proxy_anchor
11.0,7.0055318770369865,qwen3.5-4b,proxy_anchor
12.0,15.55171887467547,qwen3.5-4b,proxy_anchor
13.0,12.789210071408652,qwen3.5-4b,proxy_anchor
14.0,11.656560378346017,qwen3.5-4b,proxy_anchor
15.0,9.322232955839576,qwen3.5-4b,proxy_anchor
16.0,7.788460715999448,qwen3.5-4b,proxy_anchor
1.0,1.0396925788368097,qwen3.5-9b,bce
2.0,0.5953714588368705,qwen3.5-9b,bce
3.0,0.4302194998707882,qwen3.5-9b,bce
4.0,0.37182294463337767,qwen3.5-9b,bce
5.0,0.4798217953205347,qwen3.5-9b,bce
6.0,0.3345525075075298,qwen3.5-9b,bce
7.0,0.2929387569546729,qwen3.5-9b,bce
8.0,0.3381463622534147,qwen3.5-9b,bce
9.0,0.26280063816266347,qwen3.5-9b,bce
10.0,0.2916775477636036,qwen3.5-9b,bce
11.0,0.3250404575461893,qwen3.5-9b,bce
12.0,0.3038926148569623,qwen3.5-9b,bce
13.0,0.2679569620390361,qwen3.5-9b,bce
14.0,0.20248763458106958,qwen3.5-9b,bce
15.0,0.24573034392376794,qwen3.5-9b,bce
16.0,0.2006120225430936,qwen3.5-9b,bce
17.0,0.18883964729386588,qwen3.5-9b,bce
18.0,0.2183873998832631,qwen3.5-9b,bce
19.0,0.24176296725902716,qwen3.5-9b,bce
20.0,0.18270140195465231,qwen3.5-9b,bce
1.0,5.5190110386655045,qwen3.5-9b,supcon
2.0,5.509569942668009,qwen3.5-9b,supcon
3.0,5.50736875431512,qwen3.5-9b,supcon
4.0,5.508070200137658,qwen3.5-9b,supcon
5.0,5.492227291041358,qwen3.5-9b,supcon
6.0,5.509218536576321,qwen3.5-9b,supcon
7.0,5.510127791228012,qwen3.5-9b,supcon
8.0,5.485470335135969,qwen3.5-9b,supcon
9.0,5.4804066254753385,qwen3.5-9b,supcon
10.0,5.466323586516632,qwen3.5-9b,supcon
11.0,5.500501489841989,qwen3.5-9b,supcon
12.0,5.522218138911063,qwen3.5-9b,supcon
13.0,5.522223909487275,qwen3.5-9b,supcon
14.0,5.522223987231167,qwen3.5-9b,supcon
15.0,5.5222229914654495,qwen3.5-9b,supcon
1.0,12.135291008926623,qwen3.5-9b,proxy_anchor
2.0,11.20897703273322,qwen3.5-9b,proxy_anchor
3.0,10.46249456040768,qwen3.5-9b,proxy_anchor
4.0,9.94512641593855,qwen3.5-9b,proxy_anchor
5.0,9.897301090333007,qwen3.5-9b,proxy_anchor
6.0,9.11051183630449,qwen3.5-9b,proxy_anchor
7.0,8.076206879306955,qwen3.5-9b,proxy_anchor
8.0,7.718217171976405,qwen3.5-9b,proxy_anchor
9.0,9.145069401810902,qwen3.5-9b,proxy_anchor
10.0,8.344155597519833,qwen3.5-9b,proxy_anchor
11.0,6.481836448463389,qwen3.5-9b,proxy_anchor
12.0,9.987781053425282,qwen3.5-9b,proxy_anchor
13.0,5.654591329516873,qwen3.5-9b,proxy_anchor
14.0,6.683560461066729,qwen3.5-9b,proxy_anchor
15.0,4.6416924829094315,qwen3.5-9b,proxy_anchor
16.0,2.718270672340259,qwen3.5-9b,proxy_anchor
17.0,11.975782655065851,qwen3.5-9b,proxy_anchor
18.0,6.553323609794965,qwen3.5-9b,proxy_anchor
19.0,3.743415640067625,qwen3.5-9b,proxy_anchor
20.0,3.4054123882868494,qwen3.5-9b,proxy_anchor
1.0,0.9756450170881292,phi-4-multimodal-instruct,bce
2.0,0.5582754278937935,phi-4-multimodal-instruct,bce
3.0,0.5261246306903515,phi-4-multimodal-instruct,bce
4.0,0.5264814005321818,phi-4-multimodal-instruct,bce
5.0,0.44813228989889475,phi-4-multimodal-instruct,bce
6.0,0.48089248812600466,phi-4-multimodal-instruct,bce
7.0,0.3794248305466616,phi-4-multimodal-instruct,bce
8.0,0.4032449314829278,phi-4-multimodal-instruct,bce
9.0,0.3270210287057099,phi-4-multimodal-instruct,bce
10.0,0.330847391221326,phi-4-multimodal-instruct,bce
11.0,0.24600500407209192,phi-4-multimodal-instruct,bce
12.0,0.25224028465331394,phi-4-multimodal-instruct,bce
13.0,0.3199099043538305,phi-4-multimodal-instruct,bce
14.0,0.26543142467706754,phi-4-multimodal-instruct,bce
15.0,0.3458468270801061,phi-4-multimodal-instruct,bce
16.0,0.3168580583215856,phi-4-multimodal-instruct,bce
1.0,5.512931540258328,phi-4-multimodal-instruct,supcon
2.0,5.50009265058009,phi-4-multimodal-instruct,supcon
3.0,5.50997246760757,phi-4-multimodal-instruct,supcon
4.0,5.516128702231885,phi-4-multimodal-instruct,supcon
5.0,5.501806352671856,phi-4-multimodal-instruct,supcon
6.0,5.487110839800888,phi-4-multimodal-instruct,supcon
7.0,5.485302525229059,phi-4-multimodal-instruct,supcon
8.0,5.515823010648234,phi-4-multimodal-instruct,supcon
9.0,5.515643420331447,phi-4-multimodal-instruct,supcon
10.0,5.5001056907856425,phi-4-multimodal-instruct,supcon
11.0,5.498986013332597,phi-4-multimodal-instruct,supcon
12.0,5.517504407631365,phi-4-multimodal-instruct,supcon
1.0,13.525981306907958,phi-4-multimodal-instruct,proxy_anchor
2.0,12.894052695448723,phi-4-multimodal-instruct,proxy_anchor
3.0,12.240901363516974,phi-4-multimodal-instruct,proxy_anchor
4.0,11.811774178837123,phi-4-multimodal-instruct,proxy_anchor
5.0,11.22304668562892,phi-4-multimodal-instruct,proxy_anchor
6.0,10.963083088945929,phi-4-multimodal-instruct,proxy_anchor
7.0,12.688899000282793,phi-4-multimodal-instruct,proxy_anchor
8.0,11.502852121339512,phi-4-multimodal-instruct,proxy_anchor
9.0,10.853304313566152,phi-4-multimodal-instruct,proxy_anchor
10.0,9.911360761118374,phi-4-multimodal-instruct,proxy_anchor
11.0,10.859898542359364,phi-4-multimodal-instruct,proxy_anchor
12.0,10.236911356266477,phi-4-multimodal-instruct,proxy_anchor
13.0,8.639461425765663,phi-4-multimodal-instruct,proxy_anchor
14.0,7.687554799743278,phi-4-multimodal-instruct,proxy_anchor
15.0,8.740880088981497,phi-4-multimodal-instruct,proxy_anchor
16.0,7.335572459968045,phi-4-multimodal-instruct,proxy_anchor
17.0,9.790156749709755,phi-4-multimodal-instruct,proxy_anchor
18.0,9.208197979931933,phi-4-multimodal-instruct,proxy_anchor
19.0,6.016127860826175,phi-4-multimodal-instruct,proxy_anchor
