epoch,loss,model_alias,objective,negative_budget_ratio,negative_budget_seed
3.0,11.050809762316318,qwen3-vl-8b,proxy_anchor,0.5,20260508
4.0,10.485600226713647,qwen3-vl-8b,proxy_anchor,0.5,20260508
5.0,10.567084651218547,qwen3-vl-8b,proxy_anchor,0.5,20260508
6.0,10.076168075968843,qwen3-vl-8b,proxy_anchor,0.5,20260508
7.0,9.88200167708818,qwen3-vl-8b,proxy_anchor,0.5,20260508
8.0,10.002977637539654,qwen3-vl-8b,proxy_anchor,0.5,20260508
9.0,9.384254355694969,qwen3-vl-8b,proxy_anchor,0.5,20260508
10.0,9.6946390727707,qwen3-vl-8b,proxy_anchor,0.5,20260508
11.0,9.375698998233865,qwen3-vl-8b,proxy_anchor,0.5,20260508
12.0,8.846361835879222,qwen3-vl-8b,proxy_anchor,0.5,20260508
13.0,7.795722001876674,qwen3-vl-8b,proxy_anchor,0.5,20260508
14.0,10.651253181316525,qwen3-vl-8b,proxy_anchor,0.5,20260508
15.0,8.891946303036669,qwen3-vl-8b,proxy_anchor,0.5,20260508
16.0,10.450280641261978,qwen3-vl-8b,proxy_anchor,0.5,20260508
17.0,10.419069936388082,qwen3-vl-8b,proxy_anchor,0.5,20260508
18.0,8.207229809839378,qwen3-vl-8b,proxy_anchor,0.5,20260508
1.0,11.810714416820643,qwen3-vl-8b,proxy_anchor,0.25,20260506
2.0,10.402002941258349,qwen3-vl-8b,proxy_anchor,0.25,20260506
3.0,10.254488884876848,qwen3-vl-8b,proxy_anchor,0.25,20260506
4.0,10.226382580951638,qwen3-vl-8b,proxy_anchor,0.25,20260506
5.0,10.209031451472237,qwen3-vl-8b,proxy_anchor,0.25,20260506
6.0,10.26263268326748,qwen3-vl-8b,proxy_anchor,0.25,20260506
7.0,9.469598358878832,qwen3-vl-8b,proxy_anchor,0.25,20260506
8.0,9.813658444573363,qwen3-vl-8b,proxy_anchor,0.25,20260506
9.0,9.320810700799123,qwen3-vl-8b,proxy_anchor,0.25,20260506
10.0,9.161294840187313,qwen3-vl-8b,proxy_anchor,0.25,20260506
11.0,9.319751996649444,qwen3-vl-8b,proxy_anchor,0.25,20260506
12.0,8.582566077214896,qwen3-vl-8b,proxy_anchor,0.25,20260506
13.0,9.252198521188955,qwen3-vl-8b,proxy_anchor,0.25,20260506
14.0,9.217285883259636,qwen3-vl-8b,proxy_anchor,0.25,20260506
15.0,9.189394965590006,qwen3-vl-8b,proxy_anchor,0.25,20260506
16.0,9.905889610088607,qwen3-vl-8b,proxy_anchor,0.25,20260506
17.0,7.884301565630051,qwen3-vl-8b,proxy_anchor,0.25,20260506
18.0,8.41525583806654,qwen3-vl-8b,proxy_anchor,0.25,20260506
19.0,8.459131527854174,qwen3-vl-8b,proxy_anchor,0.25,20260506
20.0,7.459692602833132,qwen3-vl-8b,proxy_anchor,0.25,20260506
1.0,11.408324626671197,qwen3-vl-8b,proxy_anchor,0.25,20260507
2.0,11.056467134839956,qwen3-vl-8b,proxy_anchor,0.25,20260507
3.0,11.265640463183194,qwen3-vl-8b,proxy_anchor,0.25,20260507
4.0,11.016064391707781,qwen3-vl-8b,proxy_anchor,0.25,20260507
5.0,8.785408630727423,qwen3-vl-8b,proxy_anchor,0.25,20260507
6.0,10.087927717957152,qwen3-vl-8b,proxy_anchor,0.25,20260507
7.0,10.204993898223952,qwen3-vl-8b,proxy_anchor,0.25,20260507
8.0,9.68815954466465,qwen3-vl-8b,proxy_anchor,0.25,20260507
9.0,9.854311345582978,qwen3-vl-8b,proxy_anchor,0.25,20260507
10.0,9.880329385368887,qwen3-vl-8b,proxy_anchor,0.25,20260507
1.0,11.305466293608147,qwen3-vl-8b,proxy_anchor,0.25,20260508
2.0,10.542754398211335,qwen3-vl-8b,proxy_anchor,0.25,20260508
3.0,10.908844770145466,qwen3-vl-8b,proxy_anchor,0.25,20260508
4.0,10.473581161657393,qwen3-vl-8b,proxy_anchor,0.25,20260508
5.0,10.098924234486269,qwen3-vl-8b,proxy_anchor,0.25,20260508
