model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
qwen3.5-9b,pope,proxy_anchor,1.0,20260507,1642,128,0.9639275686896611,1728.9778638165722
qwen3.5-9b,dash-b,proxy_anchor,1.0,20260507,349,128,0.9862638339978808,4591.849585843452
qwen3.5-9b,repope,proxy_anchor,1.0,20260508,1554,128,0.9896274655258885,6091.010856222561
qwen3.5-9b,pope,proxy_anchor,1.0,20260508,1642,128,0.9876783872610728,5122.587018951854
qwen3.5-9b,dash-b,proxy_anchor,1.0,20260508,349,128,0.9972820085092264,23332.043957329555
qwen3.5-9b,repope,proxy_anchor,0.5,20260506,1554,128,0.9686584124977381,1994.7752069066744
qwen3.5-9b,pope,proxy_anchor,0.5,20260506,1642,128,0.9514859618302772,1277.3116731286545
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260506,349,128,0.9888475586672927,5662.881391799978
qwen3.5-9b,repope,proxy_anchor,0.5,20260507,1554,128,0.9597042011572493,1544.4035143953536
qwen3.5-9b,pope,proxy_anchor,0.5,20260507,1642,128,0.9542283323055697,1355.7816760057417
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260507,349,128,0.988081456191221,5296.879815974344
qwen3.5-9b,repope,proxy_anchor,0.5,20260508,1554,128,0.9430404270188296,1083.088073292635
qwen3.5-9b,pope,proxy_anchor,0.5,20260508,1642,128,0.9238636415568365,801.9472740234353
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260508,349,128,0.9854555015678946,4334.914853758072
qwen3.5-9b,repope,proxy_anchor,0.25,20260506,1554,128,0.9902707546221822,6495.798856665233
qwen3.5-9b,pope,proxy_anchor,0.25,20260506,1642,128,0.9885265223532095,5503.55864297227
qwen3.5-9b,dash-b,proxy_anchor,0.25,20260506,349,128,0.9960772219766281,16156.691518719905
qwen3.5-9b,repope,proxy_anchor,0.25,20260507,1554,128,0.9796074734451036,3082.7883968984797
qwen3.5-9b,pope,proxy_anchor,0.25,20260507,1642,128,0.9705568343860967,2125.4436059749596
qwen3.5-9b,dash-b,proxy_anchor,0.25,20260507,349,128,0.9856238863053532,4386.054846814409
qwen3.5-9b,repope,proxy_anchor,0.25,20260508,1554,128,0.9719477637913609,2232.404438202505
qwen3.5-9b,pope,proxy_anchor,0.25,20260508,1642,128,0.9659892911361778,1835.725726551423
qwen3.5-9b,dash-b,proxy_anchor,0.25,20260508,349,128,0.982378577819315,3572.518544313889
phi-4-multimodal-instruct,repope,proxy_anchor,1.0,20260506,1496,128,0.9522405567026277,1298.0054983488074
phi-4-multimodal-instruct,pope,proxy_anchor,1.0,20260506,1572,128,0.9467472716629036,1160.7554021445817
phi-4-multimodal-instruct,dash-b,proxy_anchor,1.0,20260506,305,128,0.9615342860032909,1619.409696788713
phi-4-multimodal-instruct,repope,proxy_anchor,1.0,20260507,1496,128,0.9766563524419097,2689.077827074386
phi-4-multimodal-instruct,pope,proxy_anchor,1.0,20260507,1572,128,0.9731177228693979,2330.9416289377746
phi-4-multimodal-instruct,dash-b,proxy_anchor,1.0,20260507,305,128,0.9770086183322171,2730.7622545594354
phi-4-multimodal-instruct,repope,proxy_anchor,1.0,20260508,1496,128,0.9402859064691749,1031.6137019049957
phi-4-multimodal-instruct,pope,proxy_anchor,1.0,20260508,1572,128,0.9315062962434026,895.1481242280936
phi-4-multimodal-instruct,dash-b,proxy_anchor,1.0,20260508,305,128,0.9326454348569078,910.8481555564588
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260506,1496,128,0.913902940535682,705.2753338133425
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260506,1572,128,0.9007460824584262,607.2660477973558
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260506,305,128,0.9349518769331342,944.3179404890061
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260507,1496,128,0.9750891488496751,2517.914579068325
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260507,1572,128,0.9709573613631933,2155.1935655163375
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260507,305,128,0.9802472033198927,3183.648197617272
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260508,1496,128,0.9779518535401831,2848.9347301841112
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260508,1572,128,0.9694506887574705,2047.333558557493
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260508,305,128,0.9580217814410696,1481.216581690144
phi-4-multimodal-instruct,repope,proxy_anchor,0.25,20260506,1496,128,0.9614167554440554,1614.3789827947935
phi-4-multimodal-instruct,pope,proxy_anchor,0.25,20260506,1572,128,0.9581261282530378,1484.9879319433617
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.25,20260506,305,128,0.9848442685196249,4158.826472489897
phi-4-multimodal-instruct,repope,proxy_anchor,0.25,20260507,1496,128,0.9803328294731051,3197.645855000925
phi-4-multimodal-instruct,pope,proxy_anchor,0.25,20260507,1572,128,0.976127414476752,2628.797436775477
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.25,20260507,305,128,0.9862420312737342,4584.523251534488
phi-4-multimodal-instruct,repope,proxy_anchor,0.25,20260508,1496,128,0.813089367679585,305.5245473572867
phi-4-multimodal-instruct,pope,proxy_anchor,0.25,20260508,1572,128,0.7962940266572123,277.16953343984613
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.25,20260508,305,128,0.8679509512955367,447.75540176066306
phi-3.5-vision-instruct,repope,proxy_anchor,1.0,20260506,1475,128,0.9716392408708713,2207.774114486908
